data_source,game_key,turn,player_seat,posterior_marginal,posterior_joint,n_cand_marginal,n_cand_joint,n_constrained_others
hanab_live,1757356,12,0,0.714285714286,0.716666666667,13,13,4
hanab_live,1757356,14,0,0,0,1,1,4
hanab_live,1757356,22,0,0.75,0.666666666667,5,5,4
hanab_live,1757356,24,0,0,0,1,1,4
hanab_live,1757356,26,0,0.5,0.5,3,3,4
hanab_live,1757356,29,1,0,0,1,1,4
hanab_live,1757356,30,0,0,0,1,1,3
hanab_live,1757356,33,1,0.722222222222,0.726041666667,15,15,4
hanab_live,1757356,36,0,0.647058823529,0.644444444444,14,13,4
hanab_live,1757356,39,1,0.625,0.653846153846,14,14,4
hanab_live,1757356,45,1,0.6,0.625,4,4,3
hanab_live,1757356,46,0,0,0,1,1,3
hanab_live,1757356,47,1,0.666666666667,0.666666666667,3,3,2
hanab_live,1757356,49,1,0.5,0,2,1,4
hanab_live,1757356,52,0,0.666666666667,0.642857142857,8,7,4
hanab_live,1757356,54,0,0.5,0.5,3,3,4
hanab_live,1757356,57,1,0.6,0.6,4,4,4
hanab_live,1757356,59,1,0.666666666667,0.333333333333,5,2,4
hanab_live,1757356,61,1,0,0,1,1,4
hanab_live,1757356,62,0,0,0,1,1,3
hanab_live,1757356,63,1,0,0,1,1,3
hanab_live,1757357,1,1,0,0,5,5,4
hanab_live,1757357,3,1,0.923076923077,0.923076923077,16,16,4
hanab_live,1757357,5,1,0,0,1,1,3
hanab_live,1757357,8,0,0.677419354839,0.677419354839,19,19,4
hanab_live,1757357,11,1,0,0,1,1,4
hanab_live,1757357,13,1,0.625,0.5,5,5,4
hanab_live,1757357,15,1,0.333333333333,0.333333333333,2,2,4
hanab_live,1757357,18,0,0.75,0.75,12,12,4
hanab_live,1757357,20,0,0.714285714286,0.72,17,17,4
hanab_live,1757357,21,1,0.708333333333,0.707792207792,18,18,3
hanab_live,1757357,22,0,0.8,0.8,5,5,3
hanab_live,1757357,24,0,0.625,0.625,4,4,4
hanab_live,1757357,25,1,0,0,1,1,2
hanab_live,1757357,28,0,0,0,1,1,4
hanab_live,1757357,30,0,0,0,1,1,3
hanab_live,1757357,32,0,0.894736842105,0.90625,16,16,4
hanab_live,1757357,33,1,0.333333333333,0.333333333333,4,4,1
hanab_live,1757357,38,0,0.2,0.2,3,3,4
hanab_live,1757357,40,0,0.333333333333,0.333333333333,2,2,4
hanab_live,1757357,42,0,0,0,1,1,3
hanab_live,1757357,46,0,0.9,0.875,9,9,4
hanab_live,1757357,49,1,0.8,0.8,5,5,4
hanab_live,1757357,51,1,0,0,1,1,4
hanab_live,1757357,53,1,0,0,1,1,4
hanab_live,1757357,54,0,0.5,0.5,2,2,3
hanab_live,1757359,2,0,0.722222222222,0.722222222222,18,18,4
hanab_live,1757359,3,1,0.142857142857,0.142857142857,5,5,4
hanab_live,1757359,8,0,0.727272727273,0.731746031746,18,18,4
hanab_live,1757359,9,1,0.25,0.25,5,5,3
hanab_live,1757359,12,0,0.666666666667,0.666666666667,4,4,4
hanab_live,1757359,13,1,0.454545454545,0.454545454545,5,5,2
hanab_live,1757359,16,0,0,0,2,2,4
hanab_live,1757359,21,1,0.714285714286,0.68,18,15,4
hanab_live,1757359,23,1,0.625,0.571428571429,4,3,4
hanab_live,1757359,24,0,0,0,1,1,3
hanab_live,1757359,27,1,0.714285714286,0.666666666667,5,4,4
hanab_live,1757359,29,1,0,0,1,1,3
hanab_live,1757359,32,0,0.666666666667,0.645833333333,14,14,4
hanab_live,1757359,33,1,1,1,1,1,2
hanab_live,1757359,35,1,0.722222222222,0.6875,14,12,4
hanab_live,1757359,37,1,0.761904761905,0.722222222222,17,15,4
hanab_live,1757359,40,0,0,0,1,1,4
hanab_live,1757359,41,1,0,0,1,1,3
hanab_live,1757359,42,0,0,0,1,1,3
hanab_live,1757359,43,1,0,0,1,1,2
hanab_live,1757359,50,0,0.5,0,2,1,4
hanab_live,1757359,51,1,0,0,1,1,0
hanab_live,1757359,53,1,0.75,0.75,6,6,4
hanab_live,1757359,54,0,0,0,1,1,3
hanab_live,1757359,56,0,0.8,0.666666666667,5,3,4
hanab_live,1757359,58,0,0,0,1,1,3
hanab_live,1757360,2,0,0,0,5,5,4
hanab_live,1757360,4,0,0.153846153846,0.153846153846,5,5,4
hanab_live,1757360,6,0,0.333333333333,0.333333333333,5,5,3
hanab_live,1757360,12,0,0.625,0.625,5,5,4
hanab_live,1757361,3,1,0,0,4,4,4
hanab_live,1757361,6,0,0,0,4,4,4
hanab_live,1757361,7,1,0.666666666667,0.666666666667,5,5,4
hanab_live,1757361,10,0,0.428571428571,0.428571428571,4,4,4
hanab_live,1757361,11,1,0,0,1,1,4
hanab_live,1757361,12,0,0.333333333333,0.333333333333,4,4,3
hanab_live,1757361,15,1,0.6,0.6,3,3,4
hanab_live,1757361,17,1,0.666666666667,0.666666666667,4,4,4
hanab_live,1757361,23,1,0.714285714286,0.68,5,5,4
hanab_live,1757363,2,0,0,0,5,5,4
hanab_live,1757363,3,1,0.153846153846,0.153846153846,5,5,4
hanab_live,1757363,4,0,0.307692307692,0.307692307692,5,5,3
hanab_live,1757363,10,0,0.757575757576,0.759191176471,20,20,4
hanab_live,1757363,11,1,0.782608695652,0.782608695652,14,14,4
hanab_live,1757363,13,1,0.78125,0.782748538012,19,19,4
hanab_live,1757363,20,0,0.821428571429,0.81,19,17,4
hanab_live,1757363,21,1,0.5,0.4,3,3,3
hanab_live,1757363,31,1,0.6,0.5,4,3,4
hanab_live,1757365,2,0,0,0,5,5,4
hanab_live,1757365,3,1,0.181818181818,0.181818181818,5,5,4
hanab_live,1757365,6,0,0,0,1,1,4
hanab_live,1757365,8,0,0.72,0.72,15,15,4
hanab_live,1757365,11,1,0.75,0.755102040816,5,5,4
hanab_live,1757365,13,1,0,0,1,1,4
hanab_live,1757365,19,1,0.75,0.714285714286,5,4,4
hanab_live,1757365,22,0,0.7,0.625,5,5,4
hanab_live,1757365,24,0,0.285714285714,0.333333333333,5,5,4
hanab_live,1757365,25,1,0,0,1,1,3
hanab_live,1757365,28,0,0,0,1,1,3
hanab_live,1757365,30,0,0.695652173913,0.696666666667,18,18,4
hanab_live,1757365,31,1,0.2,0.2,4,4,3
hanab_live,1757365,34,0,0,0,1,1,4
hanab_live,1757365,36,0,0,0,1,1,4
hanab_live,1757365,37,1,0,0,1,1,2
hanab_live,1757365,38,0,0,0,1,1,3
hanab_live,1757365,39,1,0.6,0.6,4,4,1
hanab_live,1757365,40,0,0,0,1,1,2
hanab_live,1757365,43,1,0.8125,0.8125,13,13,4
hanab_live,1757365,46,0,0,0,2,2,4
