game_id,game_key,turn,player,card_index,was_playable,posterior_p_life_loss,num_candidates,life_tokens,info_tokens,hints_on_card,hint_types_on_card,cards_in_deck,final_score,game_end_reason,data_source,subject_type,partner_type,skill_level,actual_color,actual_rank,fireworks_sum,individual_skill,pair_type
1757349,1757349,64,clanker1,0,True,0.0,1,2,6,4,1,0,24,natural,hanab_live,human,human,beginner,2,4,23,,
1757352,1757352,2,clanker1,4,True,0.0,5,3,6,1,1,40,25,perfect,hanab_live,human,human,beginner,2,1,0,,
1757352,1757352,3,e446b6c7fcd8e39e,3,True,0.1666666666666666,5,3,6,1,1,39,25,perfect,hanab_live,human,human,intermediate,1,1,1,,
1757352,1757352,4,clanker1,2,True,0.3636363636363636,5,3,6,1,1,38,25,perfect,hanab_live,human,human,beginner,3,1,2,,
1757352,1757352,9,e446b6c7fcd8e39e,3,True,0.4444444444444444,4,3,4,1,1,36,25,perfect,hanab_live,human,human,intermediate,0,1,3,,
1757352,1757352,10,clanker1,3,False,0.75,20,3,4,0,0,35,25,perfect,hanab_live,human,human,beginner,0,1,4,,
1757352,1757352,12,clanker1,0,True,0.782608695652174,16,2,3,0,0,34,25,perfect,hanab_live,human,human,beginner,0,2,4,,
1757352,1757352,18,clanker1,3,True,0.0,1,2,4,2,2,30,25,perfect,hanab_live,human,human,beginner,3,2,5,,
1757352,1757352,22,clanker1,3,True,0.0,1,2,5,2,2,27,25,perfect,hanab_live,human,human,beginner,2,2,6,,
1757352,1757352,24,clanker1,4,True,0.6666666666666666,4,2,4,1,1,26,25,perfect,hanab_live,human,human,beginner,1,2,7,,
1757352,1757352,26,clanker1,3,True,0.0,1,2,3,2,2,25,25,perfect,hanab_live,human,human,beginner,1,3,8,,
1757352,1757352,31,e446b6c7fcd8e39e,0,True,0.0,1,2,3,2,2,22,25,perfect,hanab_live,human,human,intermediate,1,4,9,,
1757352,1757352,32,clanker1,2,True,0.0,1,2,3,2,2,21,25,perfect,hanab_live,human,human,beginner,2,3,10,,
1757352,1757352,35,e446b6c7fcd8e39e,3,True,0.5714285714285714,4,2,1,1,1,20,25,perfect,hanab_live,human,human,intermediate,4,1,11,,
1757352,1757352,37,e446b6c7fcd8e39e,1,True,0.0,1,2,0,2,2,19,25,perfect,hanab_live,human,human,intermediate,1,5,12,,
1757352,1757352,39,e446b6c7fcd8e39e,2,True,0.6153846153846154,10,2,2,0,0,17,25,perfect,hanab_live,human,human,intermediate,0,3,13,,
1757352,1757352,41,e446b6c7fcd8e39e,2,True,0.5,3,2,3,1,1,15,25,perfect,hanab_live,human,human,intermediate,3,3,14,,
1757352,1757352,42,clanker1,0,True,0.0,1,2,3,3,2,14,25,perfect,hanab_live,human,human,beginner,3,4,15,,
1757352,1757352,43,e446b6c7fcd8e39e,1,True,0.0,2,2,3,1,1,13,25,perfect,hanab_live,human,human,intermediate,2,4,16,,
1757352,1757352,44,clanker1,0,True,0.0,1,2,3,2,1,12,25,perfect,hanab_live,human,human,beginner,3,5,17,,
1757352,1757352,46,clanker1,4,True,0.6666666666666666,5,2,3,1,1,11,25,perfect,hanab_live,human,human,beginner,4,2,18,,
1757352,1757352,48,clanker1,2,False,0.75,4,2,2,1,1,10,25,perfect,hanab_live,human,human,beginner,4,1,19,,
1757352,1757352,49,e446b6c7fcd8e39e,0,True,0.3333333333333333,2,1,2,1,1,9,25,perfect,hanab_live,human,human,intermediate,0,4,19,,
1757352,1757352,50,clanker1,3,True,0.3333333333333333,3,1,2,1,1,8,25,perfect,hanab_live,human,human,beginner,0,5,20,,
1757352,1757352,53,e446b6c7fcd8e39e,4,True,0.5,2,1,3,1,1,6,25,perfect,hanab_live,human,human,intermediate,4,3,21,,
1757352,1757352,55,e446b6c7fcd8e39e,4,True,0.875,7,1,2,0,0,5,25,perfect,hanab_live,human,human,intermediate,2,5,22,,
1757352,1757352,56,clanker1,1,True,0.0,1,1,3,2,2,4,25,perfect,hanab_live,human,human,beginner,4,4,23,,
1757352,1757352,58,clanker1,1,True,0.0,1,1,2,3,2,3,25,perfect,hanab_live,human,human,beginner,4,5,24,,
1757355,1757355,3,5d951dd9e5f78a97,3,True,0.625,4,3,5,1,1,40,25,perfect,hanab_live,human,human,intermediate,4,1,0,intermediate,intermediate-intermediate
1757355,1757355,5,5d951dd9e5f78a97,1,True,0.8,3,3,4,1,1,39,25,perfect,hanab_live,human,human,intermediate,4,2,1,intermediate,intermediate-intermediate
1757355,1757355,8,31ffe83acf78e535,2,True,0.1538461538461538,5,3,4,1,1,37,25,perfect,hanab_live,human,human,intermediate,1,1,2,intermediate,intermediate-intermediate
1757355,1757355,10,31ffe83acf78e535,4,True,0.75,5,3,3,1,1,36,25,perfect,hanab_live,human,human,intermediate,1,2,3,intermediate,intermediate-intermediate
1757355,1757355,11,5d951dd9e5f78a97,3,True,0.6,5,3,3,1,1,35,25,perfect,hanab_live,human,human,intermediate,4,3,4,intermediate,intermediate-intermediate
1757355,1757355,12,31ffe83acf78e535,3,True,0.1,4,3,3,1,1,34,25,perfect,hanab_live,human,human,intermediate,3,1,5,intermediate,intermediate-intermediate
1757355,1757355,14,31ffe83acf78e535,4,True,0.7142857142857143,5,3,2,1,1,33,25,perfect,hanab_live,human,human,intermediate,1,3,6,intermediate,intermediate-intermediate
1757355,1757355,17,5d951dd9e5f78a97,4,True,0.6,4,3,2,1,1,31,25,perfect,hanab_live,human,human,intermediate,1,4,7,intermediate,intermediate-intermediate
1757355,1757355,19,5d951dd9e5f78a97,4,True,0.625,4,3,1,1,1,30,25,perfect,hanab_live,human,human,intermediate,0,1,8,intermediate,intermediate-intermediate
1757355,1757355,20,31ffe83acf78e535,0,True,0.0,1,3,1,3,2,29,25,perfect,hanab_live,human,human,intermediate,1,5,9,intermediate,intermediate-intermediate
1757355,1757355,22,31ffe83acf78e535,4,True,0.625,4,3,1,1,1,28,25,perfect,hanab_live,human,human,intermediate,2,1,10,intermediate,intermediate-intermediate
1757355,1757355,25,5d951dd9e5f78a97,4,True,0.7142857142857143,4,3,1,1,1,26,25,perfect,hanab_live,human,human,intermediate,0,2,11,intermediate,intermediate-intermediate
