game_id,turn,hinter,target_player,hint_type,hint_value,cards_touched,playable_cards_touched,candidates_before,candidates_after,disambiguation_power,next_action_by_target,data_source,hinter_type,partner_type
1757349,4,clanker1,e446b6c7fcd8e39e,rank,2,2,0,67,36,0.4626865671641791,hint,hanab_live,human,human
1757349,5,e446b6c7fcd8e39e,clanker1,color,2,3,2,125,55,0.56,play,hanab_live,human,human
1757349,9,e446b6c7fcd8e39e,clanker1,rank,1,1,0,72,55,0.2361111111111111,discard,hanab_live,human,human
1757349,13,e446b6c7fcd8e39e,clanker1,rank,5,2,0,73,35,0.5205479452054794,discard,hanab_live,human,human
1757349,15,e446b6c7fcd8e39e,clanker1,rank,1,1,1,44,26,0.4090909090909091,play,hanab_live,human,human
1757349,18,clanker1,e446b6c7fcd8e39e,rank,1,1,1,63,37,0.4126984126984127,play,hanab_live,human,human
1757349,20,clanker1,e446b6c7fcd8e39e,rank,1,1,1,55,37,0.3272727272727272,play,hanab_live,human,human
1757349,24,clanker1,e446b6c7fcd8e39e,color,2,2,0,68,34,0.5,play,hanab_live,human,human
1757349,26,clanker1,e446b6c7fcd8e39e,color,4,1,0,38,30,0.2105263157894736,play,hanab_live,human,human
1757349,28,clanker1,e446b6c7fcd8e39e,rank,2,2,1,34,15,0.5588235294117647,play,hanab_live,human,human
1757349,30,clanker1,e446b6c7fcd8e39e,rank,3,1,1,30,11,0.6333333333333333,play,hanab_live,human,human
1757349,33,e446b6c7fcd8e39e,clanker1,color,0,2,0,38,23,0.3947368421052631,play,hanab_live,human,human
1757349,35,e446b6c7fcd8e39e,clanker1,color,3,2,1,28,11,0.6071428571428571,play,hanab_live,human,human
1757349,38,clanker1,e446b6c7fcd8e39e,rank,5,1,0,40,20,0.5,play,hanab_live,human,human
1757349,41,e446b6c7fcd8e39e,clanker1,rank,1,1,0,38,22,0.4210526315789473,play,hanab_live,human,human
1757349,46,clanker1,e446b6c7fcd8e39e,color,2,1,0,52,35,0.3269230769230769,play,hanab_live,human,human
1757349,50,clanker1,e446b6c7fcd8e39e,rank,5,1,1,51,38,0.2549019607843137,play,hanab_live,human,human
1757349,55,e446b6c7fcd8e39e,clanker1,rank,3,2,1,38,19,0.5,discard,hanab_live,human,human
1757349,57,e446b6c7fcd8e39e,clanker1,color,2,1,0,23,20,0.1304347826086956,discard,hanab_live,human,human
1757349,59,e446b6c7fcd8e39e,clanker1,color,2,1,0,24,23,0.0416666666666666,discard,hanab_live,human,human
1757349,61,e446b6c7fcd8e39e,clanker1,color,2,1,0,20,19,0.05,discard,hanab_live,human,human
1757352,0,clanker1,e446b6c7fcd8e39e,rank,1,2,2,120,67,0.4416666666666666,hint,hanab_live,human,human
1757352,1,e446b6c7fcd8e39e,clanker1,rank,1,2,2,125,70,0.44,play,hanab_live,human,human
1757352,5,e446b6c7fcd8e39e,clanker1,color,3,2,0,110,64,0.4181818181818181,hint,hanab_live,human,human
1757352,6,clanker1,e446b6c7fcd8e39e,color,3,1,0,86,69,0.1976744186046511,discard,hanab_live,human,human
1757352,8,clanker1,e446b6c7fcd8e39e,rank,1,1,1,92,71,0.2282608695652173,play,hanab_live,human,human
1757352,11,e446b6c7fcd8e39e,clanker1,color,3,3,1,69,49,0.2898550724637681,play,hanab_live,human,human
1757352,14,clanker1,e446b6c7fcd8e39e,rank,5,1,0,89,54,0.3932584269662921,discard,hanab_live,human,human
1757352,17,e446b6c7fcd8e39e,clanker1,rank,2,2,2,54,26,0.5185185185185185,play,hanab_live,human,human
1757352,21,e446b6c7fcd8e39e,clanker1,color,2,2,1,46,28,0.391304347826087,play,hanab_live,human,human
1757352,23,e446b6c7fcd8e39e,clanker1,color,1,2,1,48,18,0.625,play,hanab_live,human,human
1757352,25,e446b6c7fcd8e39e,clanker1,rank,3,2,2,35,22,0.3714285714285714,play,hanab_live,human,human
1757352,28,clanker1,e446b6c7fcd8e39e,rank,4,3,1,51,22,0.5686274509803921,discard,hanab_live,human,human
1757352,30,clanker1,e446b6c7fcd8e39e,color,1,2,1,36,24,0.3333333333333333,play,hanab_live,human,human
1757352,33,e446b6c7fcd8e39e,clanker1,rank,4,2,0,58,32,0.4482758620689655,hint,hanab_live,human,human
1757352,34,clanker1,e446b6c7fcd8e39e,rank,1,1,1,38,23,0.3947368421052631,play,hanab_live,human,human
1757352,36,clanker1,e446b6c7fcd8e39e,color,3,1,1,37,19,0.4864864864864865,play,hanab_live,human,human
1757352,45,e446b6c7fcd8e39e,clanker1,color,4,5,2,57,19,0.6666666666666666,play,hanab_live,human,human
1757352,47,e446b6c7fcd8e39e,clanker1,rank,5,2,0,29,11,0.6206896551724138,play,hanab_live,human,human
1757352,52,clanker1,e446b6c7fcd8e39e,rank,3,1,1,50,34,0.32,play,hanab_live,human,human
1757352,54,clanker1,e446b6c7fcd8e39e,color,1,2,0,41,23,0.4390243902439024,play,hanab_live,human,human
1757352,57,e446b6c7fcd8e39e,clanker1,rank,5,1,1,26,23,0.1153846153846153,play,hanab_live,human,human
1757355,0,31ffe83acf78e535,5d951dd9e5f78a97,color,4,2,1,120,67,0.4416666666666666,hint,hanab_live,human,human
1757355,1,5d951dd9e5f78a97,31ffe83acf78e535,rank,5,1,0,115,83,0.2782608695652174,hint,hanab_live,human,human
1757355,2,31ffe83acf78e535,5d951dd9e5f78a97,rank,5,2,0,67,30,0.5522388059701493,play,hanab_live,human,human
1757355,4,31ffe83acf78e535,5d951dd9e5f78a97,rank,3,2,0,50,18,0.64,play,hanab_live,human,human
1757355,7,5d951dd9e5f78a97,31ffe83acf78e535,rank,1,2,2,86,43,0.5,play,hanab_live,human,human
1757355,9,5d951dd9e5f78a97,31ffe83acf78e535,color,1,2,1,61,34,0.4426229508196721,play,hanab_live,human,human
1757355,13,5d951dd9e5f78a97,31ffe83acf78e535,color,1,2,1,71,48,0.323943661971831,play,hanab_live,human,human
